sido	gu	name	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022
서울	금천구	서울가산초등학교	23	23	23	22	21	19	18	18	19	20	19	19	18	17	16	634	589	564	518	464	438	419	412	412	392	355	333	291	276	276
서울	금천구	서울금나래초등학교	0	0	0	0	0	0	0	0	0	25	28	38	41	43	50	0	0	0	0	0	0	0	0	0	410	550	801	838	902	982
서울	금천구	서울금동초등학교	36	37	37	37	37	37	37	37	37	37	37	37	36	35	35	1305	1272	1210	1089	1057	1023	1032	1044	1023	1019	997	957	862	795	756
서울	금천구	서울금산초등학교	24	23	22	20	19	18	18	18	18	16	17	17	16	16	16	698	654	570	516	447	403	384	366	365	345	342	342	323	302	295
서울	금천구	서울금천초등학교	18	15	15	12	13	13	13	13	13	13	13	13	13	13	13	438	389	354	289	249	231	216	199	192	186	179	177	146	145	155
서울	금천구	서울독산초등학교	53	48	46	43	39	38	38	37	37	36	36	35	33	33	31	1527	1358	1209	1043	935	854	827	814	771	737	718	665	634	605	561
서울	금천구	서울두산초등학교	37	35	34	34	32	32	31	31	31	30	30	29	29	29	29	1024	944	858	831	760	707	676	673	661	609	563	558	548	521	571
서울	금천구	서울문교초등학교	32	29	26	24	22	22	20	20	19	20	19	18	17	16	15	884	777	669	599	534	492	437	435	396	363	342	309	284	272	263
서울	금천구	서울문백초등학교	31	29	27	25	27	30	31	33	35	34	34	36	35	33	32	842	737	682	610	704	686	729	774	771	697	731	730	675	649	644
서울	금천구	서울문성초등학교	36	31	29	28	28	27	27	24	24	26	26	26	26	25	25	952	832	759	681	656	601	560	502	481	454	438	432	396	390	389
서울	금천구	서울백산초등학교	31	29	28	27	26	25	23	20	19	19	19	19	18	17	18	883	794	731	631	588	539	502	461	426	394	368	342	305	288	274
